               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.026989,            0.015068,                   0,             0.90773,             0.85644,             0.93177,             0.53836,            0.025768,            0.006815,                   0,            0.002674,            0.002674,            0.002674
                  39,             0.02552,            0.015353,                   0,             0.92422,             0.86139,             0.93354,             0.52082,            0.027309,           0.0065284,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.025818,            0.014761,                   0,             0.88233,             0.89091,             0.92372,             0.53614,            0.025538,            0.006748,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.026151,            0.014906,                   0,             0.89586,             0.89434,             0.92577,             0.54615,            0.025435,            0.006542,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.025791,            0.014663,                   0,             0.89017,             0.89604,             0.93215,             0.54629,            0.025731,            0.006812,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.026156,            0.014642,                   0,             0.86413,             0.92079,             0.91839,             0.53163,            0.026306,           0.0066426,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.024869,            0.014373,                   0,              0.8943,             0.87959,             0.92234,             0.55717,            0.024722,           0.0067537,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.025534,            0.014097,                   0,             0.87101,             0.92574,             0.93415,             0.55524,            0.025471,           0.0066411,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.024416,            0.014579,                   0,             0.87713,             0.91882,              0.9294,             0.55374,            0.025173,           0.0067446,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.024852,            0.014419,                   0,             0.89454,             0.88182,             0.92715,             0.55259,             0.02542,           0.0068147,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.023768,            0.014257,                   0,             0.90901,             0.89027,             0.93173,             0.56079,            0.025293,           0.0067861,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.024234,            0.014179,                   0,             0.90159,             0.89604,             0.93114,             0.55548,            0.025153,           0.0067524,                   0,            0.000496,            0.000496,            0.000496
